Année,Sexe,Rang,Prénom,Total
1971,Masculin,5,OLIVIER,15529
1971,Féminin,1,NATHALIE,22674
1971,Féminin,2,SANDRINE,20846
1971,Féminin,3,ISABELLE,17479
1971,Féminin,4,VALÉRIE,16835
1971,Féminin,5,CHRISTELLE,12053
1972,Masculin,1,CHRISTOPHE,21156
1972,Masculin,2,STÉPHANE,20974
1972,Masculin,3,DAVID,19694
1972,Masculin,4,LAURENT,16048
1972,Masculin,5,OLIVIER,15121
1972,Féminin,1,SANDRINE,19886
1972,Féminin,2,NATHALIE,19200
1972,Féminin,3,ISABELLE,16500
1972,Féminin,4,VALÉRIE,14562
1972,Féminin,5,CHRISTELLE,13129
1973,Masculin,1,CHRISTOPHE,21068
1973,Masculin,2,STÉPHANE,19195
1973,Masculin,3,DAVID,19068
1973,Masculin,4,FRÉDÉRIC,18192
1973,Masculin,5,SÉBASTIEN,14947
1973,Féminin,1,SANDRINE,17602
1973,Féminin,2,NATHALIE,16919
1973,Féminin,3,ISABELLE,14486
1973,Féminin,4,STÉPHANIE,13728
1973,Féminin,5,CHRISTELLE,12864
1974,Masculin,1,STÉPHANE,18508
1974,Masculin,2,DAVID,17883
1974,Masculin,3,CHRISTOPHE,17311
1974,Masculin,4,FRÉDÉRIC,16580
1974,Masculin,5,SÉBASTIEN,16222
1974,Féminin,1,STÉPHANIE,23519
1974,Féminin,2,SANDRINE,15702
1974,Féminin,3,NATHALIE,13945
1974,Féminin,4,ISABELLE,10798
1974,Féminin,5,VIRGINIE,10542
1975,Masculin,1,SÉBASTIEN,16769
1975,Masculin,2,FRÉDÉRIC,15970
1975,Masculin,3,DAVID,15500
1975,Masculin,4,STÉPHANE,15359
1975,Masculin,5,CHRISTOPHE,14444
1975,Féminin,1,STÉPHANIE,19593
1975,Féminin,2,SANDRINE,13933
1975,Féminin,3,NATHALIE,10956
1975,Féminin,4,CÉLINE,10154
1975,Féminin,5,VIRGINIE,10150
1976,Masculin,1,SÉBASTIEN,19285
1976,Masculin,2,DAVID,14685
1976,Masculin,3,FRÉDÉRIC,14353
1976,Masculin,4,CHRISTOPHE,13106
1976,Masculin,5,STÉPHANE,12476
1976,Féminin,1,STÉPHANIE,16694
1976,Féminin,2,SANDRINE,12084
1976,Féminin,3,CÉLINE,10626
1976,Féminin,4,NATHALIE,9341
1976,Féminin,5,VIRGINIE,9193
1977,Masculin,1,SÉBASTIEN,19466
1977,Masculin,2,NICOLAS,15227
1977,Masculin,3,DAVID,13575
1977,Masculin,4,FRÉDÉRIC,12080
1977,Masculin,5,CHRISTOPHE,11864
1977,Féminin,1,STÉPHANIE,15058
1977,Féminin,2,CÉLINE,12014
1977,Féminin,3,SANDRINE,11060
1977,Féminin,4,VIRGINIE,9640
1977,Féminin,5,NATHALIE,8046
1978,Masculin,1,SÉBASTIEN,19098
1978,Masculin,2,NICOLAS,13536
1978,Masculin,3,DAVID,12235
1978,Masculin,4,FRÉDÉRIC,10372
1978,Masculin,5,CHRISTOPHE,10361
1978,Féminin,1,CÉLINE,12127
1978,Féminin,2,STÉPHANIE,12080
1978,Féminin,3,VIRGINIE,9480
1978,Féminin,4,SANDRINE,9193
1978,Féminin,5,LAETITIA,7595
1979,Masculin,1,SÉBASTIEN,17500
1979,Masculin,2,NICOLAS,13169
1979,Masculin,3,JULIEN,11145
1979,Masculin,4,DAVID,11084
1979,Masculin,5,CHRISTOPHE,9627
1979,Féminin,1,CÉLINE,13701
1979,Féminin,2,STÉPHANIE,10603
1979,Féminin,3,VIRGINIE,8827
1979,Féminin,4,AURÉLIE,8788
1979,Féminin,5,SANDRINE,8043
1980,Masculin,1,NICOLAS,21803
1980,Masculin,2,SÉBASTIEN,16474
1980,Masculin,3,JULIEN,13895
1980,Masculin,4,DAVID,10194
1980,Masculin,5,CHRISTOPHE,9478
1980,Féminin,1,CÉLINE,12851
1980,Féminin,2,EMILIE,11585
1980,Féminin,3,AURÉLIE,11195
1980,Féminin,4,VIRGINIE,9946
1980,Féminin,5,STÉPHANIE,9317
1981,Masculin,1,NICOLAS,20824
1981,Masculin,2,JULIEN,15057
1981,Masculin,3,SÉBASTIEN,14652
1981,Masculin,4,DAVID,9777
1981,Masculin,5,GUILLAUME,8837
1981,Féminin,1,CÉLINE,12501
1981,Féminin,2,AURÉLIE,12358
1981,Féminin,3,EMILIE,10805
1981,Féminin,4,VIRGINIE,8892
1981,Féminin,5,STÉPHANIE,8526
1982,Masculin,1,NICOLAS,17797
1982,Masculin,2,JULIEN,16446
1982,Masculin,3,SÉBASTIEN,13547
1982,Masculin,4,DAVID,9263
1982,Masculin,5,GUILLAUME,8254
1982,Féminin,1,AURÉLIE,13673
1982,Féminin,2,CÉLINE,11210
1982,Féminin,3,EMILIE,10355
1982,Féminin,4,LAETITIA,8387
1982,Féminin,5,STÉPHANIE,8034
1983,Masculin,1,JULIEN,16332
1983,Masculin,2,NICOLAS,14540
1983,Masculin,3,SÉBASTIEN,11549
1983,Masculin,4,GUILLAUME,9246
1983,Masculin,5,DAVID,7593
1983,Féminin,1,AURÉLIE,13924
1983,Féminin,2,EMILIE,10331
1983,Féminin,3,CÉLINE,9218
1983,Féminin,4,JULIE,8315
1983,Féminin,5,ELODIE,8121
1984,Masculin,1,JULIEN,15229
1984,Masculin,2,NICOLAS,13584
1984,Masculin,3,SÉBASTIEN,10399
1984,Masculin,4,GUILLAUME,9380
1984,Masculin,5,JONATHAN,7591
1984,Féminin,1,AURÉLIE,12886
1984,Féminin,2,EMILIE,9717
1984,Féminin,3,CÉLINE,9000
1984,Féminin,4,ELODIE,8838
1984,Féminin,5,JULIE,8448
1985,Masculin,1,JULIEN,17022
1985,Masculin,2,NICOLAS,13843
1985,Masculin,3,SÉBASTIEN,8855
1985,Masculin,4,GUILLAUME,8572
1985,Masculin,5,JONATHAN,8541
1985,Féminin,1,AURÉLIE,12570
1985,Féminin,2,EMILIE,11380
1985,Féminin,3,JULIE,8735
1985,Féminin,4,MARIE,7867
1985,Féminin,5,ELODIE,7804
1986,Masculin,1,JULIEN,15330
1986,Masculin,2,NICOLAS,12507
1986,Masculin,3,GUILLAUME,9083
1986,Masculin,4,ALEXANDRE,8739
1986,Masculin,5,SÉBASTIEN,8152
1986,Féminin,1,AURÉLIE,11313
1986,Féminin,2,EMILIE,9304
1986,Féminin,3,JULIE,8967
1986,Féminin,4,ELODIE,8512
1986,Féminin,5,STÉPHANIE,8424
1987,Masculin,1,JULIEN,13419
1987,Masculin,2,NICOLAS,10909
1987,Masculin,3,ROMAIN,9627
1987,Masculin,4,ALEXANDRE,8223
1987,Masculin,5,ANTHONY,8063
1987,Féminin,1,JULIE,9934
1987,Féminin,2,AURÉLIE,9884
1987,Féminin,3,ELODIE,8953
1987,Féminin,4,_PRENOMS_RARES,7657
1987,Féminin,5,EMILIE,7645
1988,Masculin,1,JULIEN,12451
1988,Masculin,2,NICOLAS,10749
1988,Masculin,3,ROMAIN,9395
1988,Masculin,4,ANTHONY,9080
1988,Masculin,5,KEVIN,8369
1988,Féminin,1,ELODIE,11821
1988,Féminin,2,LAURA,9241
1988,Féminin,3,JULIE,8681
1988,Féminin,4,_PRENOMS_RARES,8047
1988,Féminin,5,AURÉLIE,7888
1989,Masculin,1,KEVIN,11344
1989,Masculin,2,JULIEN,10730
1989,Masculin,3,NICOLAS,9545
1989,Masculin,4,ROMAIN,9083
1989,Masculin,5,ALEXANDRE,8324
1989,Féminin,1,ELODIE,10480
1989,Féminin,2,_PRENOMS_RARES,8178
1989,Féminin,3,LAURA,8074
1989,Féminin,4,JULIE,8011
1989,Féminin,5,AURÉLIE,7626
1990,Masculin,1,KEVIN,11403
1990,Masculin,2,THOMAS,9816
1990,Masculin,3,JULIEN,9415
1990,Masculin,4,NICOLAS,9151
1990,Masculin,5,_PRENOMS_RARES,8458
1990,Féminin,1,ELODIE,8620
1990,Féminin,2,_PRENOMS_RARES,8479
1990,Féminin,3,LAURA,7920
1990,Féminin,4,JULIE,7451
1990,Féminin,5,MARINE,6924
1991,Masculin,1,KEVIN,13304
1991,Masculin,2,THOMAS,9793
1991,Masculin,3,ALEXANDRE,8879
1991,Masculin,4,JULIEN,8799
1991,Masculin,5,NICOLAS,8580
1991,Féminin,1,_PRENOMS_RARES,8621
1991,Féminin,2,MARINE,8200
1991,Féminin,3,ELODIE,7912
1991,Féminin,4,LAURA,7281
1991,Féminin,5,JULIE,6952
1992,Masculin,1,KEVIN,12628
1992,Masculin,2,THOMAS,9780
1992,Masculin,3,_PRENOMS_RARES,9050
1992,Masculin,4,MAXIME,8930
1992,Masculin,5,ALEXANDRE,8778
1992,Féminin,1,_PRENOMS_RARES,9075
1992,Féminin,2,LAURA,7489
1992,Féminin,3,MARINE,7379
1992,Féminin,4,MARIE,7288
1992,Féminin,5,MARION,6364
1993,Masculin,1,KEVIN,11212
1993,Masculin,2,_PRENOMS_RARES,9412
1993,Masculin,3,THOMAS,8976
1993,Masculin,4,ALEXANDRE,8955
1993,Masculin,5,NICOLAS,8683
1993,Féminin,1,_PRENOMS_RARES,9610
1993,Féminin,2,LAURA,7561
1993,Féminin,3,MARINE,6966
1993,Féminin,4,MARIE,6819
1993,Féminin,5,ANAÏS,6561
1994,Masculin,1,KEVIN,9853
1994,Masculin,2,_PRENOMS_RARES,9677
1994,Masculin,3,NICOLAS,9244
1994,Masculin,4,ALEXANDRE,8830
1994,Masculin,5,THOMAS,8142
1994,Féminin,1,_PRENOMS_RARES,9821
1994,Féminin,2,LAURA,7928
1994,Féminin,3,MANON,7480
1994,Féminin,4,MARIE,7218
1994,Féminin,5,CAMILLE,7017
1995,Masculin,1,_PRENOMS_RARES,9744
1995,Masculin,2,NICOLAS,9137
1995,Masculin,3,ALEXANDRE,9012
1995,Masculin,4,THOMAS,8860
1995,Masculin,5,MAXIME,7700
1995,Féminin,1,_PRENOMS_RARES,10232
1995,Féminin,2,MANON,8239
1995,Féminin,3,MARIE,7631
1995,Féminin,4,LAURA,7582
1995,Féminin,5,CAMILLE,7333
1996,Masculin,1,_PRENOMS_RARES,10161
1996,Masculin,2,THOMAS,9386
1996,Masculin,3,ALEXANDRE,8866
1996,Masculin,4,NICOLAS,8846
1996,Masculin,5,MAXIME,7766
1996,Féminin,1,_PRENOMS_RARES,10886
1996,Féminin,2,MANON,7614
1996,Féminin,3,LAURA,7422
1996,Féminin,4,MARIE,7422
1996,Féminin,5,CAMILLE,7231
1997,Masculin,1,_PRENOMS_RARES,10341
1997,Masculin,2,THOMAS,9592
1997,Masculin,3,ALEXANDRE,8193
1997,Masculin,4,NICOLAS,7741
1997,Masculin,5,MAXIME,7500
1997,Féminin,1,_PRENOMS_RARES,11252
1997,Féminin,2,LÉA,7498
1997,Féminin,3,MANON,7382
1997,Féminin,4,CAMILLE,7019
1997,Féminin,5,MARIE,6773
1998,Masculin,1,_PRENOMS_RARES,10954
1998,Masculin,2,THOMAS,9414
1998,Masculin,3,ALEXANDRE,7512
1998,Masculin,4,QUENTIN,7501
1998,Masculin,5,MAXIME,7197
1998,Féminin,1,_PRENOMS_RARES,12120
1998,Féminin,2,LÉA,8142
1998,Féminin,3,MANON,7634
1998,Féminin,4,CAMILLE,7461
1998,Féminin,5,MARIE,6854
1999,Masculin,1,_PRENOMS_RARES,11586
1999,Masculin,2,THOMAS,9407
1999,Masculin,3,LUCAS,8038
1999,Masculin,4,MAXIME,7011
1999,Masculin,5,HUGO,6999
1999,Féminin,1,_PRENOMS_RARES,12503
1999,Féminin,2,LÉA,9647
1999,Féminin,3,MANON,7476
1999,Féminin,4,CAMILLE,7192
1999,Féminin,5,MARIE,6311
2000,Masculin,1,_PRENOMS_RARES,12517
2000,Masculin,2,THOMAS,10452
2000,Masculin,3,LUCAS,8304
2000,Masculin,4,THÉO,7962
2000,Masculin,5,HUGO,7695
2000,Féminin,1,_PRENOMS_RARES,13565
2000,Féminin,2,LÉA,10657
2000,Féminin,3,MANON,7852
2000,Féminin,4,CAMILLE,7355
2000,Féminin,5,CHLOÉ,7188
2001,Masculin,1,_PRENOMS_RARES,13229
2001,Masculin,2,THOMAS,10106
2001,Masculin,3,LUCAS,9038
2001,Masculin,4,THÉO,8858
2001,Masculin,5,HUGO,7050
2001,Féminin,1,_PRENOMS_RARES,14645
2001,Féminin,2,LÉA,10709
2001,Féminin,3,MANON,7579
2001,Féminin,4,CHLOÉ,7025
2001,Féminin,5,CAMILLE,6576
2002,Masculin,1,_PRENOMS_RARES,14352
2002,Masculin,2,LUCAS,9318
2002,Masculin,3,THÉO,8692
2002,Masculin,4,THOMAS,8158
2002,Masculin,5,HUGO,7247
2002,Féminin,1,_PRENOMS_RARES,15344
2002,Féminin,2,LÉA,9733
2002,Féminin,3,MANON,7562
2002,Féminin,4,EMMA,6518
2002,Féminin,5,CHLOÉ,6098
2003,Masculin,1,_PRENOMS_RARES,15167
2003,Masculin,2,LUCAS,8287
2003,Masculin,3,THÉO,7859
2003,Masculin,4,HUGO,7386
2003,Masculin,5,THOMAS,6853
2003,Féminin,1,_PRENOMS_RARES,16521
2003,Féminin,2,LÉA,8961
2003,Féminin,3,MANON,6911
2003,Féminin,4,EMMA,6221
2003,Féminin,5,CHLOÉ,5792
2004,Masculin,1,_PRENOMS_RARES,16266
2004,Masculin,2,ENZO,7960
2004,Masculin,3,LUCAS,6819
2004,Masculin,4,THÉO,6491
2004,Masculin,5,THOMAS,6455
2004,Féminin,1,_PRENOMS_RARES,17675
2004,Féminin,2,LÉA,7386
2004,Féminin,3,EMMA,6628
2004,Féminin,4,MANON,6279
2004,Féminin,5,CHLOÉ,5435
2005,Masculin,1,_PRENOMS_RARES,17156
2005,Masculin,2,ENZO,8852
2005,Masculin,3,LUCAS,6813
2005,Masculin,4,MATHIS,5776
2005,Masculin,5,THOMAS,5657
2005,Féminin,1,_PRENOMS_RARES,18532
2005,Féminin,2,EMMA,7090
2005,Féminin,3,LÉA,6638
2005,Féminin,4,CLARA,6032
2005,Féminin,5,MANON,5919
2006,Masculin,1,_PRENOMS_RARES,18087
2006,Masculin,2,ENZO,8325
2006,Masculin,3,LUCAS,7190
2006,Masculin,4,MATHIS,6174
2006,Masculin,5,NATHAN,6044
2006,Féminin,1,_PRENOMS_RARES,19514
2006,Féminin,2,EMMA,7095
2006,Féminin,3,LÉA,6503
2006,Féminin,4,CLARA,6043
2006,Féminin,5,MANON,5570
2007,Masculin,1,_PRENOMS_RARES,18461
2007,Masculin,2,ENZO,7491
2007,Masculin,3,LUCAS,7446
2007,Masculin,4,NATHAN,6622
2007,Masculin,5,MATHIS,5837
2007,Féminin,1,_PRENOMS_RARES,20054
2007,Féminin,2,EMMA,6736
2007,Féminin,3,LÉA,5829
2007,Féminin,4,CLARA,5205
2007,Féminin,5,CHLOÉ,5142
2008,Masculin,1,_PRENOMS_RARES,18866
2008,Masculin,2,LUCAS,7069
2008,Masculin,3,ENZO,6979
2008,Masculin,4,NATHAN,6437
2008,Masculin,5,MATHIS,5646
2008,Féminin,1,_PRENOMS_RARES,20155
2008,Féminin,2,EMMA,6767
2008,Féminin,3,LÉA,5749
2008,Féminin,4,JADE,5468
2008,Féminin,5,MANON,5350
2009,Masculin,1,_PRENOMS_RARES,19631
2009,Masculin,2,LUCAS,7479
2009,Masculin,3,NATHAN,7003
2009,Masculin,4,ENZO,6492
2009,Masculin,5,LOUIS,4855
2009,Féminin,1,_PRENOMS_RARES,21012
2009,Féminin,2,EMMA,6589
2009,Féminin,3,JADE,5503
2009,Féminin,4,LÉA,5291
2009,Féminin,5,CHLOÉ,5023
2010,Masculin,1,_PRENOMS_RARES,20999
2010,Masculin,2,NATHAN,7033
2010,Masculin,3,LUCAS,6923
2010,Masculin,4,ENZO,5949
2010,Masculin,5,LOUIS,4808
2010,Féminin,1,_PRENOMS_RARES,22145
2010,Féminin,2,EMMA,6400
2010,Féminin,3,MANON,5042
2010,Féminin,4,LOLA,4900
2010,Féminin,5,JADE,4843
2011,Masculin,1,_PRENOMS_RARES,21513
2011,Masculin,2,LUCAS,6101
2011,Masculin,3,NATHAN,5975
2011,Masculin,4,ENZO,5410
2011,Masculin,5,GABRIEL,4856
2011,Féminin,1,_PRENOMS_RARES,23748
2011,Féminin,2,EMMA,5924
2011,Féminin,3,MANON,4833
2011,Féminin,4,JADE,4620
2011,Féminin,5,LOLA,4406
2012,Masculin,1,_PRENOMS_RARES,24032
2012,Masculin,2,LUCAS,5730
2012,Masculin,3,NATHAN,5425
2012,Masculin,4,LOUIS,5046
2012,Masculin,5,GABRIEL,5018
2012,Féminin,1,_PRENOMS_RARES,25895
2012,Féminin,2,EMMA,5187
2012,Féminin,3,LOUISE,4443
2012,Féminin,4,MANON,4340
2012,Féminin,5,JADE,4160
2013,Masculin,1,_PRENOMS_RARES,23958
2013,Masculin,2,LUCAS,5659
2013,Masculin,3,HUGO,5399
2013,Masculin,4,LOUIS,5287
2013,Masculin,5,GABRIEL,5191
2013,Féminin,1,_PRENOMS_RARES,26073
2013,Féminin,2,EMMA,4796
2013,Féminin,3,LOUISE,4480
2013,Féminin,4,CHLOÉ,4314
2013,Féminin,5,JADE,4228
2014,Masculin,1,_PRENOMS_RARES,24353
2014,Masculin,2,LUCAS,5471
2014,Masculin,3,GABRIEL,5360
2014,Masculin,4,LOUIS,4982
2014,Masculin,5,HUGO,4898
2014,Féminin,1,_PRENOMS_RARES,26235
2014,Féminin,2,JADE,4696
2014,Féminin,3,LOUISE,4636
2014,Féminin,4,EMMA,4500
2014,Féminin,5,CHLOÉ,3867
2015,Masculin,1,_PRENOMS_RARES,24492
2015,Masculin,2,GABRIEL,5651
2015,Masculin,3,JULES,5153
2015,Masculin,4,LUCAS,5018
2015,Masculin,5,LOUIS,4748
2015,Féminin,1,_PRENOMS_RARES,26389
2015,Féminin,2,LOUISE,4544
2015,Féminin,3,EMMA,4406
2015,Féminin,4,JADE,4303
2015,Féminin,5,CHLOÉ,3604
2016,Masculin,1,_PRENOMS_RARES,24921
2016,Masculin,2,GABRIEL,5876
2016,Masculin,3,JULES,5033
2016,Masculin,4,ADAM,4656
2016,Masculin,5,LUCAS,4587
2016,Féminin,1,_PRENOMS_RARES,26602
2016,Féminin,2,EMMA,4723
2016,Féminin,3,LOUISE,4174
2016,Féminin,4,JADE,4146
2016,Féminin,5,ALICE,3484
2017,Masculin,1,_PRENOMS_RARES,25238
2017,Masculin,2,GABRIEL,5442
2017,Masculin,3,LOUIS,4405
2017,Masculin,4,RAPHAËL,4203
2017,Masculin,5,JULES,4182
2017,Féminin,1,_PRENOMS_RARES,26660
2017,Féminin,2,EMMA,4816
2017,Féminin,3,LOUISE,4040
2017,Féminin,4,JADE,4033
2017,Féminin,5,ALICE,3377
2018,Masculin,1,_PRENOMS_RARES,25476
2018,Masculin,2,GABRIEL,5424
2018,Masculin,3,RAPHAËL,4605
2018,Masculin,4,LÉO,4451
2018,Masculin,5,LOUIS,4410
2018,Féminin,1,_PRENOMS_RARES,26985
2018,Féminin,2,EMMA,4372
2018,Féminin,3,JADE,3973
2018,Féminin,4,LOUISE,3767
2018,Féminin,5,ALICE,3308
2019,Masculin,1,_PRENOMS_RARES,26380
2019,Masculin,2,GABRIEL,4987
2019,Masculin,3,LÉO,4655
2019,Masculin,4,RAPHAËL,4468
2019,Masculin,5,ARTHUR,4003
2019,Féminin,1,_PRENOMS_RARES,27628
2019,Féminin,2,EMMA,3954
2019,Féminin,3,JADE,3818
2019,Féminin,4,LOUISE,3749
2019,Féminin,5,ALICE,3290
2020,Masculin,1,_PRENOMS_RARES,26389
2020,Masculin,2,LÉO,4498
2020,Masculin,3,GABRIEL,4413
2020,Masculin,4,RAPHAËL,3976
2020,Masculin,5,ARTHUR,3801
2020,Féminin,1,_PRENOMS_RARES,27914
2020,Féminin,2,JADE,3816
2020,Féminin,3,LOUISE,3808
2020,Féminin,4,EMMA,3483
2020,Féminin,5,ALICE,2973
2021,Masculin,1,_PRENOMS_RARES,26511
2021,Masculin,2,GABRIEL,4972
2021,Masculin,3,LÉO,4362
2021,Masculin,4,RAPHAËL,3961
2021,Masculin,5,LOUIS,3708
2021,Féminin,1,_PRENOMS_RARES,28211
2021,Féminin,2,JADE,3796
2021,Féminin,3,LOUISE,3759
2021,Féminin,4,EMMA,3197
2021,Féminin,5,AMBRE,3008
2022,Masculin,1,_PRENOMS_RARES,27296
2022,Masculin,2,GABRIEL,4885
2022,Masculin,3,LÉO,4078
2022,Masculin,4,RAPHAËL,3794
2022,Masculin,5,MAËL,3570
2022,Féminin,1,_PRENOMS_RARES,29396
2022,Féminin,2,JADE,3418
2022,Féminin,3,LOUISE,3408
2022,Féminin,4,AMBRE,3376
2022,Féminin,5,ALBA,3272
